Aut??nomo,163722,,company_domain,similar_domains_count,probability
Aut??nomo,138056,,bing.com,0,0.3333
Nhs,98532,nhs.uk,nhs.uk,4,0.25
Walmart,97098,walmart.com,walmart.com,2,0.5
T??rkiye,86253,,bing.com,0,0.3333
Ind??pendant,84601,,bing.com,0,0.3333
School,77495,,education.maharashtra.gov.in,2,0.5
Jpmorgan Chase & Co.,72554,jpmorganchase.com,bing.com,0,0.3333
No,72480,,dictionary.cambridge.org,0,0.3333
At&T,65297,att.com,dictionary.cambridge.org,0,0.3333
Private,64170,,merriam-webster.com,0,0.3333
Autonomo,54483,,autonomo.tech,1,1.0
Per??,53854,,dictionary.cambridge.org,0,0.3333
United States,47788,,britannica.com,0,0.3333
Lavoratore Autonomo,38872,,laleggepertutti.it,1,1.0
Kpmg,37161,kmpg.com,kpmg.com,3,0.3333
Independent,36102,,independent.co.uk,2,0.5
Selbst?ñndig,35989,,bing.com,0,0.3333
Abc,35603,,youtube.com,2,0.5
Promobroker Agente De Seguros Y De Fianzas S A De C V,33700,aarco.com.mx,rocketreach.co,0,0.3333
Selbstst?ñndig,33288,,bing.com,0,0.3333
Freelance,32434,Freelancer.com,freelancer.in,1,1.0
"Ayatama Energi, Trisco Nusantara",32092,,rocketreach.co,0,0.3333
Casa,31160,casa-india.org,casa.anshulgroup.com,1,1.0
Verbum Traducci??n Y Edici??n,29256,,verbumtraduccion.wixsite.com,2,0.5
Confidential,27019,,linkedin.com,0,0.3333
Govt. Of India,26730,india.gov.in,en.wikipedia.org,5,0.2
Kenya,24611,,bing.com,0,0.3333
Free Lance,24186,,bing.com,0,0.3333
Xxx,23446,,google.com,1,1.0
Hp,23211,,bing.com,0,0.3333
L'Or??al,22774,,en.wikipedia.org,0,0.3333
Ikea Group,22628,ikea.com,No domain found,0,0.3333
Libero Professionista,20858,,No domain found,0,0.3333
Nil,20149,,cleartax.in,0,0.3333
Non,20131,,bing.com,0,0.3333
United States Department Of Defense,20082,,defense.gov,3,0.3333
Fresher,20037,,freshersworld.com,2,0.5
"Bright Futures, A College And Career Management Company",19483,brightfuturesllc.com,brightfuturesllc.com,0,0.3333
M??xico,19051,,britannica.com,0,0.3333
Personal,18543,,bing.com,0,0.3333
J.P. Morgan,18431,,jpmorgan.com,2,0.5
Tencent,18115,,bing.com,0,0.3333
Nothing,17924,,flipkart.com,4,0.25
Saudi Aramco,17305,,aramco.com,2,0.5
Fedex Express,17256,,No domain found,0,0.3333
Myself,16833,,dictionary.cambridge.org,0,0.3333
Samsung,16763,,samsung.com,2,0.5
Amazon Web Services,16572,,bing.com,0,0.3333
American Center Of Krasnodar,16440,,bing.com,0,0.3333
I?çStanbul T??rkiye,16112,,en.wikipedia.org,0,0.3333
Kfc,15669,,online.kfc.co.in,3,0.3333
P??le Emploi,15359,,candidat.pole-emploi.fr,1,1.0
Fedex Ground,15221,,fedex.com,2,0.5
Pekerja Lepas,15063,,id.wikipedia.org,0,0.3333
